date | value
2011-01-03 | 3
2011-01-09 | 1
2012-01-11 | 1
2012-01-11 | 2147483648
2012-01-11 | -1
2001-42-42
2011-01-03 | 1.2
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 0.0
2008-12-31 | 10
2011-13-01 | 10
2011-00-10 | 5
2011-01-32 | 1
abcd-ef-gh | 3
2011-01-03 | abc
2011-01-03 | 1.2.3
2011-01-03 | --
2011-01-03 | -5
2011-01-03 | 1001
2011-01-03|10
2011-01-03  | 10
2011-01-03 |10
 2011-01-03 | 10
2011-01-03 | 10 
2011-01-03 | 10 | extra
2011-01-03 |
| 10
|
2011-01-03 | 9999999999
2011-01-03 | -9999999999
2011-01-03 | .5
2011-01-03 | 5.
2011-01-03 | 0005
2011-01-03 | 000
2011-01-03 | -0
